movie_id,budget_x,revenue,genre,status,score
4098,25000000,31126421,"Action, Thriller", Released,68
4099,100000000,212956024,"Adventure, Comedy, Family", Released,68
4100,141000000,762084982.6,"Thriller, Horror, Drama", Released,71
4101,33000000,41495213,"Action, Crime, Thriller", Released,65
4102,203200000,532344463.4,"Documentary, Crime", Released,70
4103,30000000,41457834,"Crime, Drama", Released,70
4104,21000000,111809732,"Horror, Thriller", Released,57
4105,11500000,57469850,"Horror, Thriller", Released,57
4106,50000000,111300835,Drama, Released,72
4107,110600000,660008190.4,Thriller, Released,66
4108,500000,7758581.6,Documentary, Released,55
4109,264940000,178359863,, In Production,0
4110,111000000,395069158.8,"Drama, Music", Released,70
4111,39000000,26796824,"Action, Thriller, Comedy, Crime", Released,64
4112,50000000,161941727,"Drama, Horror, Thriller", Released,57
4113,38000000,117425156,Comedy, Released,64
4114,6500000,937490,"Horror, Comedy", Released,61
4115,3000000,1829804,"Thriller, Drama", Released,54
4116,20000000,111174248,Comedy, Released,69
4117,45000000,50871113,"Action, Crime", Released,69
4118,38998000,360848744,"Drama, Romance", Released,56
4119,12000000,23477345,"Horror, Thriller, Fantasy", Released,56
4120,20000000,19754272,"Drama, Crime, Thriller", Released,67
4121,135159000,234980052.8,Comedy, Released,59
4122,21000000,43632609,"Crime, Drama", Released,79
4123,146740000,301123555.2,Horror, Released,60
4124,184600000,178359863,Action, Released,0
4125,40000000,88000000,"Drama, Romance", Released,72
4126,5000000,32144262,Horror, Released,56
4127,10000000,63354114,"Horror, Mystery, Thriller", Released,61
4128,8000000,20036244,"Horror, Comedy", Released,69
4129,167000000,486643416.8,"War, Action, Drama", Released,63
